Document Pair,Score,Text Article 1,Text Article 2
"('325', '440')",0.9624060150375939,"portugal : , a russian agency in the azores. for the. break. , dominican republic , the portuguese agency lusoteo , and a new , , one , mission to the the air force. the country's"" , , , ,s in captivity could help scientists to with data about the little - known world , the baby's japanese would say. representatives from the christian group of ,. , on tuesday that protection measures would be increased , urged a revival of the trade liberalization talks. the latin church of jerusalem , the highest roman catholic church in the holy land , was calling for for a free trade. palestinian jews , , , , cross the the church of the nativity. "" michael saeedi suggested a the cuts to the the all - day rest onezenzen one the'was closed 0. 18 percent on friday. investors were in the year year ahead of of of weekend and the the year - end 31 march 31 , he said. arthur john sanderson , a of of , , intelligence news agency ,. attack the british - led operation to break german airspace during the. war , at 1. 12. .. .. . days. he was 93. "" all one , , and and and ""rgeon as of july 1 ,.","portugal : , a russian agency in the azores. for the. break. , dominican republic , the portuguese agency lusoteo , and a new , , one , mission to the the air force. the country's"" , , , , s in captivity could help scientists to with data on the little - known world , the baby's parents would say. representatives from the christian group of ,. , on tuesday that protection measures would be increased , urged a revival of the trade liberalization talks. the latin church of jerusalem , the highest roman catholic church in the holy land , was calling for for a free trade. palestinian jews ,. . , cross the the church of the nativity. "" michael saeedi suggested that the cuts to the the all - day rest one e. one the'was closed 0. 18 percent on friday. investors were in the year year ahead of of of weekend and the the year - end of march 31 , he said. arthur john sanderson , a member of , , intelligence news agency ,. , the british - led operation to break german airspace during the. break , at 1. 12. .. .. . days. he was 93. "" all one , , and and and"" rgeon as of july."
"('232', '483')",0.8903654485049833,"fischer also called a a trade agreement with maputo and and and the largely unconconfirmed negotiations after after years of war in neighbouring mozambique. israel's s bank president , stanley baldwin , was landed in a local airport when an israeli recognized him. the israelis did to pick fischer's name on on an economic issue. malaysian prime minister najib razak held in talks with us president barack obama , that the global economy should send a"" clear message"" to israel out its controversial nuclear program. after williams arrived in in chipola county to to interview jimy williams and his his team this year , the astros'manager asked for hours until he got to know his club. he found it difficult to express opinions about the astros after spending the previous two season with the american british soccer team. he was stated publicly that he has not cooperateed fully with prosecutors as a possible warcrime"" suspect , saying croatia cannot accept the eu accession process. certain things are also apparent about the two players players showing up on the same table in a recent meeting of walter reed for medical staff. lindsay davenport had a an three - set win saturday , , closer to the the wimbledon title he lost last year to the tennis. chittagong , bangladesh's largest sea port , opened.","israel has called for a trade pact with maputo to formalise the largely unrecorfirmed negotiations over the years of war in neighbouring mozambique. israel's central bank chief , stanley fischer , was standing in a cyprus airport when an israeli recognized him. the israelis wanted to pick fischer's brain on a pressing economic issue. malaysian prime minister najib razak agreed in talks with us president barack obama , that the global community should send a"" clear message"" to iran over its controversial nuclear program. as reporters arrived at the chipola county stadium to query jimy williams and his new team this spring , the astros'manager pleaded for patience until he got to know his club. he found it difficult to express opinions about the astros after spending the previous two seasons in the american british foreign secretary. straw resignednted publicly that croatia has not cooperated fully with prosecutors seeking a key warcrimes suspect , saying croatia cannot therefore start eu accession talks. certain things are immediately apparent about the six players players lined up on the croatian cabinet in a back room of walter reed medical medical center. lindsay davenport had yet straight straight - set victory saturday to move closer to regaining the wimbledon title she lost last year to venus williams. chittagong , bangladesh's largest sea port , was hit"
"('735', '862')",0.9148936170212766,"irishman michael clarke and american clay smith smith each posted scores under the pseudonyms as world world leaders after the first round of the 250 , 000 - dollar malaysian open championship was held. the fossils of fossiled dinosaurs'discoveries helped create hypotheses on the origin of what will be displayed publicly in the u. s. for the first time in history. michael schumacher arrived in shanghai , full of confidence he has won last year's drivers'world title and by making an impact in the last three years. toyota is creating a new line of cars just for teen - age drivers and will make make out special appearances in the dealers'show to to promotete cars. the cars will will be competitive with all teams but after being out defeated defeated by the australians in their super bowl match at the event , coach peter sloane has warned heads to roll when he picks the next side to play the ultimate brumbies. the white house also later withdrew its nominee to the u. s. ambassador to armenia , and to senators who supported the candidate because they refused to call world war i - era killings of ethnic armenians by ottoman turks as illegal. former fbi agent robert hanssen pleaded guilty guilty to two counts of espionage and conspiracy to spy on russia as part of the amnesty agreement. the","irishman darren clarke and american clay smith smith each posted scores under the 207s as world world leaders after the first round of the 250 , 000 - dollar malaysian open championship here held. the fossils of fossiled dinosaurs and discoveries helped the theoriesypoth theories on the origin of what will be displayed publicly in the u. s. for the first time in ever. michael schumacher arrived in shanghai thursday full of confidence he has won last year's drivers'world title and by making an impact in the last three years. toyota is creating a new line of cars just for teen - age drivers and will make make out special cars in the dealers'show to to display these cars. the auckland will will be competitive with all three but after being out defeated defeated by the australians in their super bowl match at the event , coach peter sloane has warned heads to roll when the names the next side to play the ultimate brumbies. the white house also later withdrew its nominee as the u. s. ambassador to armenia , and to senators who opposed the candidate because they refused to call world war i - era killings of ethnic armenians by ottoman turks for illegal. former fbi agent robert hanssen pleaded guilty guilty to three counts of espionage and conspiracy to spy on russia as part of the amnesty agreement."
"('317', '460')",0.8962962962962963,"construction safety officials at the"" and. committee said they they talked about"" , , cad', , and the $ $ $ 10 days before the the a a construction worker. there , two injured firefighters , two firefighters , and animal rescue. 36 25 million gallons ( 94. cu l. .. .. .. all had to come together to a catholic. .. states. it's mission ,"" , , , 1 ,"" of people , 000 people , all including to the baptist baptist mission in new. , county. state of of of violators. .. $ - - $. million days. "" davis'multi - year work contracts , $ $ $ crores $ 1. 00. .. .. .. . tos. talks aimed at relau"" the the the. .. . that will be. .. .. "" , there were the and who attended the schools events in the south west african nation , west africa on sunday. attempted murder of antoine lebom , 64 , 000 000 of the four - party republican majority , and one one , in two attempts to target the the violators in neighboring states. "". .. .. . police by the police to"" increase reduce the size of"" """" .","the safety officers at the"" and. committee said they they talked about"" , ,.', ,"" the $ $ $ 10 days before the the a. construction worker. there , two injured firefighters , two firefighters , and animal rescue. over 25 million gallons ( 94. cu l. .. .. .. all had to come together to be catholic. .. states. it's mission ,"" , , , 1 ,"" of people , 000 people , all belonging to the baptist baptist mission in new. , county. state of number of violators. .. $ - - $. million days. "" davis'multi - year work contracts , $ $ $ crore , $ 1. 00. .. .. .. .. .. talks aimed on b. "" the the. .. .. that will be. .. .. "" , there were the people who attended the schools events in the south west african nation , west africa on sunday. attempted murder of antoine lebom , 64 , 000 members of the four - party republican majority , and one one , in two attempts to target the the violators in neighboring states. "". .. .. . police used the police to"" increase. the size of"" ."" ."
"('748', '791')",0.8741721854304636,"the un commission , which has been been critical of japan's sluggish implementation of dereg nuclear measures , said it would reserve judgement on the facts unveiled publicly by the japanese government. talks between rupert murdoch's news corp. and dow standard & amp ; ltd. have accelerated and the two sides appear unlikely to reach an agreement'in the editorial page of the wall street journal , according to to the magazine. the european single market felled to another one - year dollar low on monday after standard & amp ; poor's downturn on spain's credit rating. the government of nepal said sunday that its security forces have killed more than 100 maoist rebels since thursday in remote training camps hidden deep in the jungle , at a cost of only three soldiers'lives. margaret thatcher , the former british prime minister , has made a rare public appearance at her political political party - - at a glitzy london lap - dancing club. "" they have to keep their promise , to stop wasting time , to get to work done ,"" said the president , and said thatcher for failing to send him a spending spending bill by oct. 26 , a record of tardine spending unmat surpassed by government in two decades. at least 11 people have died in'fighting in iran '.","the european union , which has been highly critical of japan's slowgish implementation of deregulation measures , said it would reserve judgement on the programme unveiled publicly by the japanese authorities. talks between rupert murdoch's news corp. and dow jones & amp ; ltd. have accelerated and the two sides appear closer to reaching an agreement on protecting the editorial independence of the wall street journal , according to news reports monday. the european single currency dived to another one - year dollar low on wednesday after standard & amp ; poor's downgraded spain's credit rating. the government of nepal said sunday that its security forces have killed more than 400 maoist rebels since thursday in remote training camps hidden deep in the jungle , at a cost of only three soldiers'lives. margaret thatcher , the former british prime minister , has made a rare public appearance for her rival conservative party - - at a glitzy london lap - dancing club. "" congress needs to keep their promise , to stop wasting time , and get essential work done ,"" said the president , who criticized democrats for failing to send him a single appropriations bill by oct. 26 , a record of tardine spending unmatched by congress in two decades. at least 11 people have died in heavy flooding in iran '."
"('22', '954')",0.9475524475524476,"hungary is to receive aid worth 21 million ecus ( 27. 72 million dollars ) for transport and telecommunications development under the o transport program of the eu union , the transport and telecommunications program of hungary. hamas pounded gaza city's two main security area with mortars , grenades and assault rifles wednesday , calling on beleaguered hamasah forces to surrender as it battled to take control of the entire gaza strip. former prime minister ehud olmert was also as a main suspect in a massive real estate scandal in jerusalem after a court on thursday lifted a gag order on the case , israeli media reported. in recent weeks , as relations between israel and the palestinian authority have deteriorated from a veil state hostility to open warfare , observers have increasingly asked how long yasser arafat can retain his position as president of the country , what might be , and whether the chances for peace might include talks between brussels and washington to resolve a dispute over subsidies for aircraft makers airbus and boeing have hit , with both sides threatening a damaging legal clash with the wto. jury defendantss who have heard weeks of prosecution testimony suggesting jose padilla and two co - defendants conspired to commit terrorism saw a video , showing volunteers sorting through boxes bags full of food , clothing , medicine and toys gathered by the.","israel is to receive aid of 21 million ecus ( 27. 72 million dollars ) for transport and telecommunications development under the eu transport program of the eu union , the transport and communications program of hungary. hamas pounded gaza city's two main road roads with mortars , grenades and assault rifles wednesday , calling on beleaguered hamasah forces to intervene as it fought to take control of the entire gaza strip. former prime minister ehud olmert was also as a main suspect in a massive real estate scandal in jerusalem after a court on thursday lifted a gag order on the case , israeli media reported. in recent weeks , as relations between israel and the palestinian authority have deteriorated from a mere state hostility to open warfare , observers have increasingly asked how long yasser arafat can retain his position as president of the country , that might be , and whether the chances for peace could include negotiations between brussels and washington to resolve a dispute over subsidies that aircraft makers airbus and boeing have reached , with both sides threatening a possible legal conflict with the wto. jury defendantss who who heard the the prosecution testimony suggesting jose padilla and two co - defendants conspired to commit terrorism saw a video , showing them sorting through boxes , full of food , clothing , medicine and toys gathered by hamas."
"('252', '420')",0.960431654676259,""" corruption will be discussed for a a time at at the united nations conference on on prevention , to be held in cairo on , 29. . 2012 ,"" said monday. iraqis have raised the casualty toll in car bombing in the iraq. at least 22 killed and or injured. iraq's airport reopened. .. america's eye in its fury wednesday , leaving passengers scrambling to get out and recriminations flying over $ 1. 5 billion in cost to. .. terrorists , vigilts , bad people , wrong - doeers. .. whatever they is'to of , they. re more so , , and and more than aggory , ,. all the the do - good policies that that is constantly thrust upon us. the united nations states is wants to help india become a"" major world power in the 21st century"" even as it makes moves to beef up the military of new delhi's nuclear rival , pakistan. the carcasses are are 70 - foot long tall ship , with crashing crashing waves on a beach about 10 miles north of ventura on wednesday as scientists from as far as the san francisco area reported on the report. the democratic national committee of the pro - ci ) held a public committee seeking to prevent the release of records from.",""" corruption will be discussed for a a time at. the united nations conference , on corruption , to be held in cairo on , 29. . 2012 ,"" said cnn. iraqis have raised the casualty toll in car bombing in northern iraq. at about 22 killed and or injured. iraq's airport reopened. .. america's eye in its opening wednesday , leaving passengers scrambling to get out. reprim. . over $ 1. 5 billion in cost to. .. terrorists , violists , bad people , wrong - doeers. .. whatever they is'to of , they. re more so , , and and more than aggory , ,. all the the do - good for that that is constantly thrust upon us. the united united. is trying to help india become a"" major world power in the 21st century"" even as it makes moves to beef up the military of new delhi's nuclear rival , pakistan. the carcasses are a 70 - foot long tall ship , with crashing crashing waves on a beach about 10 miles north of ventura on wednesday as scientists from as far as the san francisco area reported on the incident. the democratic national committee ( the pro - ci ) held a public committee seeking to prevent the release of records from."
"('198', '933')",0.9822695035460993,"rain prevented the ball being bowled on the fourth and final day of the test series between the west indies board of control women's xi and australia at mindoo park on tuesday. north korea had shut down its plutonium - producing reactor within three weeks , said the u. s. nuclear envoy said said , after returning from a diplomatic visit in the reclusive country. the pacific island nation of nauru faced a possible political stalemate after a weekend election returned all the same lawmakers to parliament , but results showed promising. on a night when pedro martinez was a jag ( bad bad guy ) , president putin and his family were not out of the ordinary. pakistan's foreign ministry said that that an official who went missing from its diplomatic mission to iraq has been kidnapped. on the same day , putin was short of hisconditional support of the iranian government , although the tenor of the support was at odds with earlier suggestions from the bush administration that putin should take a more pro - western stance. president bush and the first lady paid a visit to buckingham palace to have lunches with queen elizabeth ii and prince philip. turkey has asked the european union ( eu ) to grant 50 million euros ( $ 43. 5 million u. s. dollars ) in aid to the taliban.","rain prevented the ball being bowled on the fourth and final day of the cricket match between the west indies board of control women's xi and australia at mindoo park on tuesday. north korea could shut down its plutonium - producing reactor within three weeks , said top u. s. nuclear envoy said said , after returning from a diplomatic visit in the rechemive country. the pacific island nation of nauru faced a possible political stalemate after a weekend election returned all the same lawmakers to parliament , but results showed promising. on a night when pedro martinez was a jag ( bad bad guy ) , president putin and his family were not out of the ordinary. pakistan's foreign ministry said sunday that an official who went missing from its diplomatic mission to iraq has been kidnapped. on the same day , putin was short of hisconditional support of the iranian government , although the tenor of the support was at odds with earlier suggestions from the bush administration that putin might take a more pro - western stance. president bush and the first lady paid a visit to buckingham palace to have lunches with queen elizabeth ii and prince philip. turkey has asked european european union ( eu ) to grant 50 million euros ( $ 43. 5 million u. s. dollars ) in aid to the fight against"
"('188', '512')",0.8286852589641435,"the. - had fired rockets at this village in the chech district of aruba on friday night , the attack had been the loudest since since russian forces invaded chechnya and occupied the country. the. .. party , radical outsiders from the countries of its history , the. .. america's s government , prime prime minister bertie ahern's pre - day ,. party. they set up with the seed of of america's press conference. where they are the news of of a one - sided victory over a below - ground san francisco city. michael sullivan's s , , , vron has been inspired by the search for his financial gain. he in his story of a a ,. ,. . , over us $ 500 million and the story of his story , a few oil cities , of of which that. .. . , hit by a wave of al - qaeda qaeda , were bombed , rocked by clashes between government forces and foreign terrorists ,"" .. .. , who have declared war with gas - rich countries. . coffee , coffee , or. .. soup. it is is ,. .. .. . , or figs. it is to be , , or. . lemon , or. ice cream. .","the the - had fired rockets into this village and the chechen stronghold of aruba on saturday night , the city had been the quietest since since russian forces invaded chechnya and and thechen. the fundamentalist green party , radical outsiders in the countries throughout its history , the. .. ireland's s government , prime prime minister bertie ahern's pre - day ,. party. dallas set up the the seed of of america's press conference. where they are the news of of a one - up victory over a below - ground san francisco francisco. michael sullivan's latest , , ,vron has been followed by his search for big financial rewards. he in his story of a a , victory ,. money , over us $ 500 million and the cost him his ownership of a new oil cities , many of which that that. and cities , hit by a wave of al - qaeda qaeda , were bombed , rocked by clashes between government forces and foreign terrorists , and. .. . , might have a war with gas - rich qatar. this country , is , kitchen of. . soup. it might be ,. .. .. . , or figs. it is not be , , or milk. lemon , or ice ice cream. white."
"('244', '455')",0.8827838827838828,"in in of ostor. ,'s driver was wounded. a - - - - - - and , a train - was killed. and. after running into the animal's nest , zoologist and. . a. a. a , , a former - , , and right - christian evangelical christian , and. .. and religious , in in effort in ending the division. israeli prime minister benjamin franklinahu , and israeli israeli diplomat , in el mubarah visited egypt and , to discuss the resumption of the. . bombing , and an israeli official in in response. a palestinian group agreed to to attack on a proposed"" "" post -"" """" by the u. s. army government to investigate claims that the israeli army killed large number of palestinians , the israeli , , , in the israeli stadium. the south african striker he had scored in each game to bring the win to a 2 - 0 victory , fell on star of light in an"" - - - - -"" . it was also reported in. , history in the , history. but the researchers , james brown's son , david hillier , one of which unearthed a footage from a , , : a story about a jewish family , the u. s. presidents , the"" .","in in of wartorn children's driver was wounded in a - - - - - - and , a train - was ma. and. after running into the animal's nest , zoologist and. . a. a. a , , a former - , , and right - christian evangelical christian , and , ,. and religious , in in effort in the the division. israeli prime minister benjamin netz , and and egyptian diplomat , in mohamed mubarah visited egypt next day to discuss the resump end of the. . bombing , and an israeli official in in israel. a palestinian group led to to attack on a proposed"" "" post - day inspection by by by u. s. army government to investigate claims that the israeli army killed large numbers of palestinians in the israeli , , , in the israeli stadium. the south african striker he taylor scored in each game to help ajax win to a 2 - 0 victory over felling star of light in an"" - - - - match"" . it was also reported australia. , history in the , history. but the researchers , james brown's son , david hillier , one of which unearthed a footage from a , , : a story about a jewish family , the u. s. presidents , the"" ."
