Document 1,Document 2,score
2042,7773,1.0
4405,7586,1.0
9334,9813,0.9947916666666666
1544,7730,1.0
1227,6412,1.0
2071,4656,0.8
1928,8662,1.0
3797,6740,1.0
8020,9882,0.9947368421052631
1030,2435,1.0
218,3722,0.9943820224719101
705,7154,0.9942528735632183
2976,4063,1.0
464,4563,1.0
2129,2540,1.0
7206,8187,0.9948186528497409
7808,8700,1.0
6381,7440,1.0
48,7283,0.9947368421052631
1076,7083,1.0
4071,9796,1.0
6083,6936,1.0
4103,6939,1.0
2427,6665,0.9950738916256158
1300,7623,1.0
1359,4638,0.9940119760479041
5369,8848,1.0
7268,8154,1.0
6103,6180,1.0
179,319,0.9853658536585366
531,9454,0.8277777777777777
